stage;len;k;j;j+len;zetas[k];r[j]_in;r[j+len]_in;zetas[k]_hex;r[j]_in_hex;r[j+len]_in_hex;r[j]_out;r[j+len]_out;r[j]_out_hex;r[j+len]_out_hex
1;2;127;0;2;1628;-1524;1199;0x65c;0xfa0c;0x4af;-325;-356;0xfebb;0xfe9c
1;2;127;1;3;1628;-501;115;0x65c;0xfe0b;0x73;-386;-1407;0xfe7e;0xfa81
1;2;126;4;6;1522;1242;38;0x5f2;0x4da;0x26;1280;-260;0x500;0xfefc
1;2;126;5;7;1522;-1036;-1187;0x5f2;0xfbf4;0xfb5d;1106;-475;0x452;0xfe25
1;2;125;8;10;-1460;1129;-1593;0xfa4c;0x469;0xf9c7;-464;530;0xfe30;0x212
1;2;125;9;11;-1460;-1070;-987;0xfa4c;0xfbd2;0xfc25;1272;588;0x4f8;0x24c
1;2;124;12;14;958;760;219;0x3be;0x2f8;0xdb;979;337;0x3d3;0x151
1;2;124;13;15;958;56;478;0x3be;0x38;0x1de;534;1577;0x216;0x629
1;2;123;16;18;991;704;-655;0x3df;0x2c0;0xfd71;49;-231;0x31;0xff19
1;2;123;17;19;991;119;193;0x3df;0x77;0xc1;312;-421;0x138;0xfe5b
1;2;122;20;22;996;401;-694;0x3e4;0x191;0xfd4a;-293;-1366;0xfedb;0xfaaa
1;2;122;21;23;996;-967;795;0x3e4;0xfc39;0x31b;-172;-380;0xff54;0xfe84
1;2;121;24;26;-308;86;726;0xfecc;0x56;0x2d6;812;23;0x32c;0x17
1;2;121;25;27;-308;1490;1081;0xfecc;0x5d2;0x439;-758;313;0xfd0a;0x139
1;2;120;28;30;-108;712;0;0xff94;0x2c8;0x0;712;-992;0x2c8;0xfc20
1;2;120;29;31;-108;384;1328;0xff94;0x180;0x530;-1617;1016;0xf9af;0x3f8
1;2;119;32;34;478;-1463;-325;0x1de;0xfa49;0xfebb;1541;-419;0x605;0xfe5d
1;2;119;33;35;478;253;723;0x1de;0xfd;0x2d3;976;295;0x3d0;0x127
1;2;118;36;38;-870;528;-829;0xfc9a;0x210;0xfcc3;-301;-576;0xfed3;0xfdc0
1;2;118;37;39;-870;-1097;-1095;0xfc9a;0xfbb7;0xfbb9;1137;-1108;0x471;0xfbac
1;2;117;40;42;-854;1153;880;0xfcaa;0x481;0x370;-1296;-1046;0xfaf0;0xfbea
1;2;117;41;43;-854;-1358;763;0xfcaa;0xfab2;0x2fb;-595;-580;0xfdad;0xfdbc
1;2;116;44;46;-1510;-1142;1188;0xfa1a;0xfb8a;0x4a4;46;-10;0x2e;0xfff6
1;2;116;45;47;-1510;-572;-1465;0xfa1a;0xfdc4;0xfa47;1292;1304;0x50c;0x518
1;2;115;48;50;794;-617;-423;0x31a;0xfd97;0xfe59;-1040;-696;0xfbf0;0xfd48
1;2;115;49;51;794;524;568;0x31a;0x20c;0x238;1092;-1462;0x444;0xfa4a
1;2;114;52;54;-1278;735;-1658;0xfb02;0x2df;0xf986;-923;1031;0xfc65;0x407
1;2;114;53;55;-1278;1221;1311;0xfb02;0x4c5;0x51f;-797;-349;0xfce3;0xfea3
1;2;113;56;58;-1530;52;954;0xfa06;0x34;0x3ba;1006;-400;0x3ee;0xfe70
1;2;113;57;59;-1530;1339;43;0xfa06;0x53b;0x2b;1382;-407;0x566;0xfe69
1;2;112;60;62;-1185;-726;-392;0xfb5f;0xfd2a;0xfe78;-1118;1087;0xfba2;0x43f
1;2;112;61;63;-1185;-1093;-1035;0xfb5f;0xfbbb;0xfbf5;1201;-489;0x4b1;0xfe17
1;2;111;64;66;-1659;-617;801;0xf985;0xfd97;0x321;184;-253;0xb8;0xff03
1;2;111;65;67;-1659;431;-807;0xf985;0x1af;0xfcd9;-376;1113;0xfe88;0x459
1;2;110;68;70;-1187;-836;1230;0xfb5d;0xfcbc;0x4ce;394;1386;0x18a;0x56a
1;2;110;69;71;-1187;1289;923;0xfb5d;0x509;0x39b;-1117;-397;0xfba3;0xfe73
1;2;109;72;74;220;-705;-865;0xdc;0xfd3f;0xfc9f;-1570;123;0xf9de;0x7b
1;2;109;73;75;220;-1545;1301;0xdc;0xf9f7;0x515;-244;-1314;0xff0c;0xfade
1;2;108;76;78;-874;-963;981;0xfc96;0xfc3d;0x3d5;18;-898;0x12;0xfc7e
1;2;108;77;79;-874;-624;1039;0xfc96;0xfd90;0x40f;415;-1484;0x19f;0xfa34
1;2;107;80;82;-1335;-918;1561;0xfac9;0xfc6a;0x619;643;-953;0x283;0xfc47
1;2;107;81;83;-1335;976;895;0xfac9;0x3d0;0x37f;-1458;-1395;0xfa4e;0xfa8d
1;2;106;84;86;1218;1415;1072;0x4c2;0x587;0x430;-842;955;0xfcb6;0x3bb
1;2;106;85;87;1218;-98;-1547;0x4c2;0xff9e;0xf9f5;-1645;26;0xf993;0x1a
1;2;105;88;90;-136;-739;-1631;0xff78;0xfd1d;0xf9a1;959;-1583;0x3bf;0xf9d1
1;2;105;89;91;-136;867;-1386;0xff78;0x363;0xfa96;-519;357;0xfdf9;0x165
1;2;104;92;94;-1215;1442;-380;0xfb41;0x5a2;0xfe84;1062;692;0x426;0x2b4
1;2;104;93;95;-1215;-536;875;0xfb41;0xfde8;0x36b;339;-1486;0x153;0xfa32
1;2;103;96;98;384;-870;-898;0x180;0xfc9a;0xfc7e;1561;546;0x619;0x222
1;2;103;97;99;384;-756;-226;0x180;0xfd0c;0xff1e;-982;-348;0xfc2a;0xfea4
1;2;102;100;102;-1465;-595;1547;0xfa47;0xfdad;0x60b;952;-725;0x3b8;0xfd2b
1;2;102;101;103;-1465;631;639;0xfa47;0x277;0x27f;1270;75;0x4f6;0x4b
1;2;101;104;106;-1285;1076;-207;0xfafb;0x434;0xff31;869;-1289;0x365;0xfaf7
1;2;101;105;107;-1285;1012;268;0xfafb;0x3f4;0x10c;1280;1074;0x500;0x432
1;2;100;108;110;1322;1090;-1254;0x52a;0x442;0xfb1a;-164;-144;0xff5c;0xff70
1;2;100;109;111;1322;-1083;-1032;0x52a;0xfbc5;0xfbf8;1214;-849;0x4be;0xfcaf
1;2;99;112;114;610;-330;1001;0x262;0xfeb6;0x3e9;671;1397;0x29f;0x575
1;2;99;113;115;610;1362;1229;0x262;0x552;0x4cd;-738;1181;0xfd1e;0x49d
1;2;98;116;118;603;-1413;-137;0x25b;0xfa7b;0xff77;-1550;-737;0xf9f2;0xfd1f
1;2;98;117;119;603;1454;-1611;0x25b;0x5ae;0xf9b5;-157;-1530;0xff63;0xfa06
1;2;97;120;122;1097;345;1364;0x449;0x159;0x554;-1620;1375;0xf9ac;0x55f
1;2;97;121;123;1097;-118;1214;0x449;0xff8a;0x4be;1096;1585;0x448;0x631
1;2;96;124;126;817;-1389;-843;0x331;0xfa93;0xfcb5;1097;-676;0x449;0xfd5c
1;2;96;125;127;817;1069;1104;0x331;0x42d;0x450;-1156;-1153;0xfb7c;0xfb7f
1;2;95;128;130;-75;-145;1149;0xffb5;0xff6f;0x47d;1004;533;0x3ec;0x215
1;2;95;129;131;-75;1056;-1304;0xffb5;0x420;0xfae8;-248;-1394;0xff08;0xfa8e
1;2;94;132;134;-156;-817;-1059;0xff64;0xfccf;0xfbdd;1453;-1605;0x5ad;0xf9bb
1;2;94;133;135;-156;-911;-98;0xff64;0xfc71;0xff9e;-1009;1499;0xfc0f;0x5db
1;2;93;136;138;329;-1227;1447;0x149;0xfb35;0x5a7;220;605;0xdc;0x25d
1;2;93;137;139;329;640;141;0x149;0x280;0x8d;781;-1013;0x30d;0xfc0b
1;2;92;140;142;418;94;1163;0x1a2;0x5e;0x48b;1257;1262;0x4e9;0x4ee
1;2;92;141;143;418;1198;-658;0x1a2;0x4ae;0xfd6e;540;1113;0x21c;0x459
1;2;91;144;146;349;797;-1276;0x15d;0x31d;0xfb04;-479;-101;0xfe21;0xff9b
1;2;91;145;147;349;-292;1064;0x15d;0xfedc;0x428;772;-989;0x304;0xfc23
1;2;90;148;150;-872;-1269;-1096;0xfc98;0xfb0b;0xfbb8;964;-1182;0x3c4;0xfb62
1;2;90;149;151;-872;1524;868;0xfc98;0x5f4;0x364;-937;-752;0xfc57;0xfd10
1;2;89;152;154;644;1455;-1549;0x284;0x5af;0xf9f3;-94;1075;0xffa2;0x433
1;2;89;153;155;644;-719;1039;0x284;0xfd31;0x40f;320;-587;0x140;0xfdb5
1;2;88;156;158;-1590;450;-1290;0xf9ca;0x1c2;0xfaf6;-840;679;0xfcb8;0x2a7
1;2;88;157;159;-1590;370;-752;0xf9ca;0x172;0xfd10;-382;-1594;0xfe82;0xf9c6
1;2;87;160;162;1119;-1560;-319;0x45f;0xf9e8;0xfec1;1450;-1091;0x5aa;0xfbbd
1;2;87;161;163;1119;-197;1018;0x45f;0xff3b;0x3fa;821;-1044;0x335;0xfbec
1;2;86;164;166;-602;-1611;176;0xfda6;0xf9b5;0xb0;-1435;871;0xfa65;0x367
1;2;86;165;167;-602;761;-1081;0xfda6;0x2f9;0xfbc7;-320;-1330;0xfec0;0xface
1;2;85;168;170;1483;-716;1146;0x5cb;0xfd34;0x47a;430;1596;0x1ae;0x63c
1;2;85;169;171;1483;-812;-96;0x5cb;0xfcd4;0xffa0;-908;-813;0xfc74;0xfcd3
1;2;84;172;174;-777;295;-1623;0xfcf7;0x127;0xf9a9;-1328;-490;0xfad0;0xfe16
1;2;84;173;175;-777;1644;499;0xfcf7;0x66c;0x1f3;-1186;-900;0xfb5e;0xfc7c
1;2;83;176;178;-147;650;-668;0xff6d;0x28a;0xfd64;-18;-970;0xffee;0xfc36
1;2;83;177;179;-147;828;-89;0xff6d;0x33c;0xffa7;739;684;0x2e3;0x2ac
1;2;82;180;182;1159;624;-346;0x487;0x270;0xfea6;278;1147;0x116;0x47b
1;2;82;181;183;1159;607;657;0x487;0x25f;0x291;1264;-368;0x4f0;0xfe90
1;2;81;184;186;778;19;710;0x30a;0x13;0x2c6;729;-1006;0x2d9;0xfc12
1;2;81;185;187;778;382;-328;0x30a;0x17e;0xfeb8;54;-402;0x36;0xfe6e
1;2;80;188;190;-246;-789;-1522;0xff0a;0xfceb;0xfa0e;1018;76;0x3fa;0x4c
1;2;80;189;191;-246;186;64;0xff0a;0xba;0x40;250;-1368;0xfa;0xfaa8
1;2;79;192;194;1653;-1277;-983;0x675;0xfb03;0xfc29;1069;1199;0x42d;0x4af
1;2;79;193;195;1653;1593;-1492;0x675;0x639;0xfa2c;101;-1496;0x65;0xfa28
1;2;78;196;198;1574;1357;1543;0x626;0x54d;0x607;-429;1518;0xfe53;0x5ee
1;2;78;197;199;1574;948;467;0x626;0x3b4;0x1d3;1415;1229;0x587;0x4cd
1;2;77;200;202;-460;-803;-1031;0xfe34;0xfcdd;0xfbf9;1495;1124;0x5d7;0x464
1;2;77;201;203;-460;403;1470;0xfe34;0x193;0x5be;-1456;113;0xfa50;0x71
1;2;76;204;206;-291;169;831;0xfedd;0xa9;0x33f;1000;1122;0x3e8;0x462
1;2;76;205;207;-291;811;-1519;0xfedd;0x32b;0xfa11;-708;-439;0xfd3c;0xfe49
1;2;75;208;210;-235;-1451;512;0xff15;0xfa55;0x200;-939;1306;0xfc55;0x51a
1;2;75;209;211;-235;473;-632;0xff15;0x1d9;0xfd88;-159;-1132;0xff61;0xfb94
1;2;74;212;214;177;-213;-853;0xb1;0xff2b;0xfcab;-1066;759;0xfbd6;0x2f7
1;2;74;213;215;177;229;-414;0xb1;0xe5;0xfe62;-185;903;0xff47;0x387
1;2;73;216;218;587;-720;259;0x24b;0xfd30;0x103;-461;-509;0xfe33;0xfe03
1;2;73;217;219;587;-1376;-442;0x24b;0xfaa0;0xfe46;1511;-455;0x5e7;0xfe39
1;2;72;220;222;422;-485;-71;0x1a6;0xfe1b;0xffb9;-556;751;0xfdd4;0x2ef
1;2;72;221;223;422;1012;613;0x1a6;0x3f4;0x265;1625;410;0x659;0x19a
1;2;71;224;226;105;-529;31;0x69;0xfdef;0x1f;-498;135;0xfe0e;0x87
1;2;71;225;227;105;71;-1072;0x69;0x47;0xfbd0;-1001;1062;0xfc17;0x426
1;2;70;228;230;1550;-1111;1224;0x60e;0xfba9;0x4c8;113;-565;0x71;0xfdcb
1;2;70;229;231;1550;1338;1328;0x60e;0x53a;0x530;-663;423;0xfd69;0x1a7
1;2;69;232;234;871;-301;-1514;0x367;0xfed3;0xfa16;1514;-1472;0x5ea;0xfa40
1;2;69;233;235;871;-1655;-722;0x367;0xf989;0xfd2e;952;-1228;0x3b8;0xfb34
1;2;68;236;238;-1251;-419;-1057;0xfb1d;0xfe5d;0xfbdf;-1476;900;0xfa3c;0x384
1;2;68;237;239;-1251;1198;-670;0xfb1d;0x4ae;0xfd62;528;1435;0x210;0x59b
