r_in_poly[256]: {0x0, 0xfffffffe, 0x0, 0x2, 0xfffffffe, 0xfffffffe, 0x1, 0xffffffff, 0x1, 0xffffffff, 0x0, 0x2, 0x0, 0x0, 0x1, 0xffffffff, 0x1, 0x0, 0x1, 0x2, 0xffffffff, 0x0, 0x1, 0xfffffffe, 0xffffffff, 0x0, 0xfffffffe, 0x1, 0xffffffff, 0x1, 0x0, 0x0, 0xffffffff, 0x0, 0x0, 0x0, 0x1, 0x0, 0xffffffff, 0xfffffffe, 0x0, 0x2, 0x0, 0x1, 0xffffffff, 0x1, 0x0, 0x1, 0x0, 0xfffffffe, 0x0, 0x0, 0x0, 0xffffffff, 0x0, 0x0, 0xfffffffe, 0xffffffff, 0x0, 0xffffffff, 0xfffffffe, 0x1, 0x0, 0x0, 0xffffffff, 0xffffffff, 0x0, 0x0, 0x0, 0x0, 0xfffffffe, 0x0, 0x0, 0x0, 0xfffffffe, 0xffffffff, 0xfffffffe, 0x0, 0x0, 0x2, 0x0, 0x1, 0x0, 0x0, 0x1, 0x1, 0xffffffff, 0x1, 0x0, 0x0, 0x0, 0x0, 0xffffffff, 0xffffffff, 0x1, 0xffffffff, 0x0, 0xfffffffe, 0xffffffff, 0x1, 0x0, 0x2, 0x2, 0x1, 0xffffffff, 0xffffffff, 0x0, 0x0, 0x0, 0x1, 0xffffffff, 0x0, 0x0, 0x0, 0x1, 0xffffffff, 0xffffffff, 0x0, 0x2, 0x0, 0x0, 0xffffffff, 0x0, 0x0, 0x1, 0x0, 0x1, 0xffffffff, 0x0, 0x0, 0xffffffff, 0x0, 0x0, 0x1, 0xffffffff, 0x2, 0x0, 0x1, 0x0, 0x1, 0x2, 0x0, 0x0, 0xffffffff, 0x0, 0xffffffff, 0x0, 0x1, 0x0, 0xffffffff, 0x0, 0x1, 0xffffffff, 0x0, 0x0, 0x0, 0x2, 0x0, 0x0, 0x1, 0x0, 0x0, 0x0, 0x0, 0xffffffff, 0x1, 0x1, 0xffffffff, 0xffffffff, 0x0, 0x0, 0xfffffffe, 0x0, 0x1, 0x0, 0xffffffff, 0x0, 0x2, 0x1, 0x1, 0xfffffffe, 0x1, 0x1, 0xffffffff, 0x0, 0x1, 0x0, 0xffffffff, 0xfffffffe, 0x0, 0x0, 0xffffffff, 0x0, 0x1, 0x1, 0xffffffff, 0xffffffff, 0x1, 0x0, 0x1, 0x0, 0x0, 0x0, 0x2, 0x1, 0x0, 0x0, 0x0, 0xffffffff, 0xffffffff, 0xfffffffe, 0xffffffff, 0x2, 0x0, 0x1, 0x2, 0x1, 0x0, 0xffffffff, 0x0, 0x0, 0xffffffff, 0xffffffff, 0x1, 0xffffffff, 0xffffffff, 0xffffffff, 0xffffffff, 0xffffffff, 0xffffffff, 0x0, 0xffffffff, 0x0, 0xffffffff, 0xffffffff, 0xffffffff, 0xfffffffe, 0x0, 0x0, 0x1, 0x2, 0x0, 0x0, 0x1, 0x0, 0x1, 0xffffffff, 0xffffffff, 0x1, 0xffffffff, 0x1, 0x0, 0x1, 0xfffffffe, 0x2, 0x0}
NTT
r_in[256]: {0x0, 0xfffffffe, 0x0, 0x2, 0xfffffffe, 0xfffffffe, 0x1, 0xffffffff, 0x1, 0xffffffff, 0x0, 0x2, 0x0, 0x0, 0x1, 0xffffffff, 0x1, 0x0, 0x1, 0x2, 0xffffffff, 0x0, 0x1, 0xfffffffe, 0xffffffff, 0x0, 0xfffffffe, 0x1, 0xffffffff, 0x1, 0x0, 0x0, 0xffffffff, 0x0, 0x0, 0x0, 0x1, 0x0, 0xffffffff, 0xfffffffe, 0x0, 0x2, 0x0, 0x1, 0xffffffff, 0x1, 0x0, 0x1, 0x0, 0xfffffffe, 0x0, 0x0, 0x0, 0xffffffff, 0x0, 0x0, 0xfffffffe, 0xffffffff, 0x0, 0xffffffff, 0xfffffffe, 0x1, 0x0, 0x0, 0xffffffff, 0xffffffff, 0x0, 0x0, 0x0, 0x0, 0xfffffffe, 0x0, 0x0, 0x0, 0xfffffffe, 0xffffffff, 0xfffffffe, 0x0, 0x0, 0x2, 0x0, 0x1, 0x0, 0x0, 0x1, 0x1, 0xffffffff, 0x1, 0x0, 0x0, 0x0, 0x0, 0xffffffff, 0xffffffff, 0x1, 0xffffffff, 0x0, 0xfffffffe, 0xffffffff, 0x1, 0x0, 0x2, 0x2, 0x1, 0xffffffff, 0xffffffff, 0x0, 0x0, 0x0, 0x1, 0xffffffff, 0x0, 0x0, 0x0, 0x1, 0xffffffff, 0xffffffff, 0x0, 0x2, 0x0, 0x0, 0xffffffff, 0x0, 0x0, 0x1, 0x0, 0x1, 0xffffffff, 0x0, 0x0, 0xffffffff, 0x0, 0x0, 0x1, 0xffffffff, 0x2, 0x0, 0x1, 0x0, 0x1, 0x2, 0x0, 0x0, 0xffffffff, 0x0, 0xffffffff, 0x0, 0x1, 0x0, 0xffffffff, 0x0, 0x1, 0xffffffff, 0x0, 0x0, 0x0, 0x2, 0x0, 0x0, 0x1, 0x0, 0x0, 0x0, 0x0, 0xffffffff, 0x1, 0x1, 0xffffffff, 0xffffffff, 0x0, 0x0, 0xfffffffe, 0x0, 0x1, 0x0, 0xffffffff, 0x0, 0x2, 0x1, 0x1, 0xfffffffe, 0x1, 0x1, 0xffffffff, 0x0, 0x1, 0x0, 0xffffffff, 0xfffffffe, 0x0, 0x0, 0xffffffff, 0x0, 0x1, 0x1, 0xffffffff, 0xffffffff, 0x1, 0x0, 0x1, 0x0, 0x0, 0x0, 0x2, 0x1, 0x0, 0x0, 0x0, 0xffffffff, 0xffffffff, 0xfffffffe, 0xffffffff, 0x2, 0x0, 0x1, 0x2, 0x1, 0x0, 0xffffffff, 0x0, 0x0, 0xffffffff, 0xffffffff, 0x1, 0xffffffff, 0xffffffff, 0xffffffff, 0xffffffff, 0xffffffff, 0xffffffff, 0x0, 0xffffffff, 0x0, 0xffffffff, 0xffffffff, 0xffffffff, 0xfffffffe, 0x0, 0x0, 0x1, 0x2, 0x0, 0x0, 0x1, 0x0, 0x1, 0xffffffff, 0xffffffff, 0x1, 0xffffffff, 0x1, 0x0, 0x1, 0xfffffffe, 0x2, 0x0}
Stage 1:
0, 128, 2, 0x0, 0x0, 0xfffffd0a, 0x0, 0x0
1, 128, 2, 0xfffffffe, 0x0, 0xfffffd0a, 0xfffffffe, 0xfffffffe
2, 128, 2, 0x0, 0xffffffff, 0xfffffd0a, 0x640, 0xfffff9c0
3, 128, 2, 0x2, 0x0, 0xfffffd0a, 0x2, 0x2
4, 128, 2, 0xfffffffe, 0x0, 0xfffffd0a, 0xfffffffe, 0xfffffffe
5, 128, 2, 0xfffffffe, 0x1, 0xfffffd0a, 0xfffff9be, 0x63e
6, 128, 2, 0x1, 0xffffffff, 0xfffffd0a, 0x641, 0xfffff9c1
7, 128, 2, 0xffffffff, 0x2, 0xfffffd0a, 0x80, 0xffffff7e
8, 128, 2, 0x1, 0x0, 0xfffffd0a, 0x1, 0x1
9, 128, 2, 0xffffffff, 0x1, 0xfffffd0a, 0xfffff9bf, 0x63f
10, 128, 2, 0x0, 0x0, 0xfffffd0a, 0x0, 0x0
11, 128, 2, 0x2, 0x1, 0xfffffd0a, 0xfffff9c2, 0x642
12, 128, 2, 0x0, 0x2, 0xfffffd0a, 0x81, 0xffffff7f
13, 128, 2, 0x0, 0x0, 0xfffffd0a, 0x0, 0x0
14, 128, 2, 0x1, 0x0, 0xfffffd0a, 0x1, 0x1
15, 128, 2, 0xffffffff, 0xffffffff, 0xfffffd0a, 0x63f, 0xfffff9bf
16, 128, 2, 0x1, 0x0, 0xfffffd0a, 0x1, 0x1
17, 128, 2, 0x0, 0xffffffff, 0xfffffd0a, 0x640, 0xfffff9c0
18, 128, 2, 0x1, 0x0, 0xfffffd0a, 0x1, 0x1
19, 128, 2, 0x2, 0x1, 0xfffffd0a, 0xfffff9c2, 0x642
20, 128, 2, 0xffffffff, 0x0, 0xfffffd0a, 0xffffffff, 0xffffffff
21, 128, 2, 0x0, 0xffffffff, 0xfffffd0a, 0x640, 0xfffff9c0
22, 128, 2, 0x1, 0x0, 0xfffffd0a, 0x1, 0x1
23, 128, 2, 0xfffffffe, 0x1, 0xfffffd0a, 0xfffff9be, 0x63e
24, 128, 2, 0xffffffff, 0xffffffff, 0xfffffd0a, 0x63f, 0xfffff9bf
25, 128, 2, 0x0, 0x0, 0xfffffd0a, 0x0, 0x0
26, 128, 2, 0xfffffffe, 0x0, 0xfffffd0a, 0xfffffffe, 0xfffffffe
27, 128, 2, 0x1, 0x0, 0xfffffd0a, 0x1, 0x1
28, 128, 2, 0xffffffff, 0x2, 0xfffffd0a, 0x80, 0xffffff7e
29, 128, 2, 0x1, 0x0, 0xfffffd0a, 0x1, 0x1
30, 128, 2, 0x0, 0x0, 0xfffffd0a, 0x0, 0x0
31, 128, 2, 0x0, 0x1, 0xfffffd0a, 0xfffff9c0, 0x640
32, 128, 2, 0xffffffff, 0x0, 0xfffffd0a, 0xffffffff, 0xffffffff
33, 128, 2, 0x0, 0x0, 0xfffffd0a, 0x0, 0x0
34, 128, 2, 0x0, 0x0, 0xfffffd0a, 0x0, 0x0
35, 128, 2, 0x0, 0x0, 0xfffffd0a, 0x0, 0x0
36, 128, 2, 0x1, 0xffffffff, 0xfffffd0a, 0x641, 0xfffff9c1
37, 128, 2, 0x0, 0x1, 0xfffffd0a, 0xfffff9c0, 0x640
38, 128, 2, 0xffffffff, 0x1, 0xfffffd0a, 0xfffff9bf, 0x63f
39, 128, 2, 0xfffffffe, 0xffffffff, 0xfffffd0a, 0x63e, 0xfffff9be
40, 128, 2, 0x0, 0xffffffff, 0xfffffd0a, 0x640, 0xfffff9c0
41, 128, 2, 0x2, 0x0, 0xfffffd0a, 0x2, 0x2
42, 128, 2, 0x0, 0x0, 0xfffffd0a, 0x0, 0x0
43, 128, 2, 0x1, 0xfffffffe, 0xfffffd0a, 0xffffff80, 0x82
44, 128, 2, 0xffffffff, 0x0, 0xfffffd0a, 0xffffffff, 0xffffffff
45, 128, 2, 0x1, 0x1, 0xfffffd0a, 0xfffff9c1, 0x641
46, 128, 2, 0x0, 0x0, 0xfffffd0a, 0x0, 0x0
47, 128, 2, 0x1, 0xffffffff, 0xfffffd0a, 0x641, 0xfffff9c1
48, 128, 2, 0x0, 0x0, 0xfffffd0a, 0x0, 0x0
49, 128, 2, 0xfffffffe, 0x2, 0xfffffd0a, 0x7f, 0xffffff7d
50, 128, 2, 0x0, 0x1, 0xfffffd0a, 0xfffff9c0, 0x640
51, 128, 2, 0x0, 0x1, 0xfffffd0a, 0xfffff9c0, 0x640
52, 128, 2, 0x0, 0xfffffffe, 0xfffffd0a, 0xffffff7f, 0x81
53, 128, 2, 0xffffffff, 0x1, 0xfffffd0a, 0xfffff9bf, 0x63f
54, 128, 2, 0x0, 0x1, 0xfffffd0a, 0xfffff9c0, 0x640
55, 128, 2, 0x0, 0xffffffff, 0xfffffd0a, 0x640, 0xfffff9c0
56, 128, 2, 0xfffffffe, 0x0, 0xfffffd0a, 0xfffffffe, 0xfffffffe
57, 128, 2, 0xffffffff, 0x1, 0xfffffd0a, 0xfffff9bf, 0x63f
58, 128, 2, 0x0, 0x0, 0xfffffd0a, 0x0, 0x0
59, 128, 2, 0xffffffff, 0xffffffff, 0xfffffd0a, 0x63f, 0xfffff9bf
60, 128, 2, 0xfffffffe, 0xfffffffe, 0xfffffd0a, 0xffffff7d, 0x7f
61, 128, 2, 0x1, 0x0, 0xfffffd0a, 0x1, 0x1
62, 128, 2, 0x0, 0x0, 0xfffffd0a, 0x0, 0x0
63, 128, 2, 0x0, 0xffffffff, 0xfffffd0a, 0x640, 0xfffff9c0
64, 128, 2, 0xffffffff, 0x0, 0xfffffd0a, 0xffffffff, 0xffffffff
65, 128, 2, 0xffffffff, 0x1, 0xfffffd0a, 0xfffff9bf, 0x63f
66, 128, 2, 0x0, 0x1, 0xfffffd0a, 0xfffff9c0, 0x640
67, 128, 2, 0x0, 0xffffffff, 0xfffffd0a, 0x640, 0xfffff9c0
68, 128, 2, 0x0, 0xffffffff, 0xfffffd0a, 0x640, 0xfffff9c0
69, 128, 2, 0x0, 0x1, 0xfffffd0a, 0xfffff9c0, 0x640
70, 128, 2, 0xfffffffe, 0x0, 0xfffffd0a, 0xfffffffe, 0xfffffffe
71, 128, 2, 0x0, 0x1, 0xfffffd0a, 0xfffff9c0, 0x640
72, 128, 2, 0x0, 0x0, 0xfffffd0a, 0x0, 0x0
73, 128, 2, 0x0, 0x0, 0xfffffd0a, 0x0, 0x0
74, 128, 2, 0xfffffffe, 0x0, 0xfffffd0a, 0xfffffffe, 0xfffffffe
75, 128, 2, 0xffffffff, 0x2, 0xfffffd0a, 0x80, 0xffffff7e
76, 128, 2, 0xfffffffe, 0x1, 0xfffffd0a, 0xfffff9be, 0x63e
77, 128, 2, 0x0, 0x0, 0xfffffd0a, 0x0, 0x0
78, 128, 2, 0x0, 0x0, 0xfffffd0a, 0x0, 0x0
79, 128, 2, 0x2, 0x0, 0xfffffd0a, 0x2, 0x2
80, 128, 2, 0x0, 0xffffffff, 0xfffffd0a, 0x640, 0xfffff9c0
81, 128, 2, 0x1, 0xffffffff, 0xfffffd0a, 0x641, 0xfffff9c1
82, 128, 2, 0x0, 0xfffffffe, 0xfffffd0a, 0xffffff7f, 0x81
83, 128, 2, 0x0, 0xffffffff, 0xfffffd0a, 0x640, 0xfffff9c0
84, 128, 2, 0x1, 0x2, 0xfffffd0a, 0x82, 0xffffff80
85, 128, 2, 0x1, 0x0, 0xfffffd0a, 0x1, 0x1
86, 128, 2, 0xffffffff, 0x1, 0xfffffd0a, 0xfffff9bf, 0x63f
87, 128, 2, 0x1, 0x2, 0xfffffd0a, 0x82, 0xffffff80
88, 128, 2, 0x0, 0x1, 0xfffffd0a, 0xfffff9c0, 0x640
89, 128, 2, 0x0, 0x0, 0xfffffd0a, 0x0, 0x0
90, 128, 2, 0x0, 0xffffffff, 0xfffffd0a, 0x640, 0xfffff9c0
91, 128, 2, 0x0, 0x0, 0xfffffd0a, 0x0, 0x0
92, 128, 2, 0xffffffff, 0x0, 0xfffffd0a, 0xffffffff, 0xffffffff
93, 128, 2, 0xffffffff, 0xffffffff, 0xfffffd0a, 0x63f, 0xfffff9bf
94, 128, 2, 0x1, 0xffffffff, 0xfffffd0a, 0x641, 0xfffff9c1
95, 128, 2, 0xffffffff, 0x1, 0xfffffd0a, 0xfffff9bf, 0x63f
96, 128, 2, 0x0, 0xffffffff, 0xfffffd0a, 0x640, 0xfffff9c0
97, 128, 2, 0xfffffffe, 0xffffffff, 0xfffffd0a, 0x63e, 0xfffff9be
98, 128, 2, 0xffffffff, 0xffffffff, 0xfffffd0a, 0x63f, 0xfffff9bf
99, 128, 2, 0x1, 0xffffffff, 0xfffffd0a, 0x641, 0xfffff9c1
100, 128, 2, 0x0, 0xffffffff, 0xfffffd0a, 0x640, 0xfffff9c0
101, 128, 2, 0x2, 0xffffffff, 0xfffffd0a, 0x642, 0xfffff9c2
102, 128, 2, 0x2, 0x0, 0xfffffd0a, 0x2, 0x2
103, 128, 2, 0x1, 0xffffffff, 0xfffffd0a, 0x641, 0xfffff9c1
104, 128, 2, 0xffffffff, 0x0, 0xfffffd0a, 0xffffffff, 0xffffffff
105, 128, 2, 0xffffffff, 0xffffffff, 0xfffffd0a, 0x63f, 0xfffff9bf
106, 128, 2, 0x0, 0xffffffff, 0xfffffd0a, 0x640, 0xfffff9c0
107, 128, 2, 0x0, 0xffffffff, 0xfffffd0a, 0x640, 0xfffff9c0
108, 128, 2, 0x0, 0xfffffffe, 0xfffffd0a, 0xffffff7f, 0x81
109, 128, 2, 0x1, 0x0, 0xfffffd0a, 0x1, 0x1
110, 128, 2, 0xffffffff, 0x0, 0xfffffd0a, 0xffffffff, 0xffffffff
111, 128, 2, 0x0, 0x1, 0xfffffd0a, 0xfffff9c0, 0x640
112, 128, 2, 0x0, 0x2, 0xfffffd0a, 0x81, 0xffffff7f
113, 128, 2, 0x0, 0x0, 0xfffffd0a, 0x0, 0x0
114, 128, 2, 0x1, 0x0, 0xfffffd0a, 0x1, 0x1
115, 128, 2, 0xffffffff, 0x1, 0xfffffd0a, 0xfffff9bf, 0x63f
116, 128, 2, 0xffffffff, 0x0, 0xfffffd0a, 0xffffffff, 0xffffffff
117, 128, 2, 0x0, 0x1, 0xfffffd0a, 0xfffff9c0, 0x640
118, 128, 2, 0x2, 0xffffffff, 0xfffffd0a, 0x642, 0xfffff9c2
119, 128, 2, 0x0, 0xffffffff, 0xfffffd0a, 0x640, 0xfffff9c0
120, 128, 2, 0x0, 0x1, 0xfffffd0a, 0xfffff9c0, 0x640
121, 128, 2, 0xffffffff, 0xffffffff, 0xfffffd0a, 0x63f, 0xfffff9bf
122, 128, 2, 0x0, 0x1, 0xfffffd0a, 0xfffff9c0, 0x640
123, 128, 2, 0x0, 0x0, 0xfffffd0a, 0x0, 0x0
124, 128, 2, 0x1, 0x1, 0xfffffd0a, 0xfffff9c1, 0x641
125, 128, 2, 0x0, 0xfffffffe, 0xfffffd0a, 0xffffff7f, 0x81
126, 128, 2, 0x1, 0x2, 0xfffffd0a, 0x82, 0xffffff80
127, 128, 2, 0xffffffff, 0x0, 0xfffffd0a, 0xffffffff, 0xffffffff
Stage 2:
0, 64, 3, 0x0, 0xffffffff, 0xfffffe99, 0x2ed, 0xfffffd13
1, 64, 3, 0xfffffffe, 0xfffff9bf, 0xfffffe99, 0x2c3, 0xfffffd39
2, 64, 3, 0x640, 0xfffff9c0, 0xfffffe99, 0x618, 0x668
3, 64, 3, 0x2, 0x640, 0xfffffe99, 0x2a, 0xffffffda
4, 64, 3, 0xfffffffe, 0x640, 0xfffffe99, 0x26, 0xffffffd6
5, 64, 3, 0xfffff9be, 0xfffff9c0, 0xfffffe99, 0xfffff996, 0xfffff9e6
6, 64, 3, 0x641, 0xfffffffe, 0xfffffe99, 0xc1b, 0x67
7, 64, 3, 0x80, 0xfffff9c0, 0xfffffe99, 0x58, 0xa8
8, 64, 3, 0x1, 0x0, 0xfffffe99, 0x1, 0x1
9, 64, 3, 0xfffff9bf, 0x0, 0xfffffe99, 0xfffff9bf, 0xfffff9bf
10, 64, 3, 0x0, 0xfffffffe, 0xfffffe99, 0x5da, 0xfffffa26
11, 64, 3, 0xfffff9c2, 0x80, 0xfffffe99, 0xfffffc5f, 0xfffff725
12, 64, 3, 0x81, 0xfffff9be, 0xfffffe99, 0x633, 0xfffffacf
13, 64, 3, 0x0, 0x0, 0xfffffe99, 0x0, 0x0
14, 64, 3, 0x1, 0x0, 0xfffffe99, 0x1, 0x1
15, 64, 3, 0x63f, 0x2, 0xfffffe99, 0x65, 0xc19
16, 64, 3, 0x1, 0x640, 0xfffffe99, 0x29, 0xffffffd9
17, 64, 3, 0x640, 0x641, 0xfffffe99, 0x37b, 0x905
18, 64, 3, 0x1, 0xffffff7f, 0xfffffe99, 0x51, 0xffffffb1
19, 64, 3, 0xfffff9c2, 0x640, 0xfffffe99, 0xfffff9ea, 0xfffff99a
20, 64, 3, 0xffffffff, 0x82, 0xfffffe99, 0xfffffcc2, 0x33c
21, 64, 3, 0x640, 0x1, 0xfffffe99, 0x353, 0x92d
22, 64, 3, 0x1, 0xfffff9bf, 0xfffffe99, 0x2c6, 0xfffffd3c
23, 64, 3, 0xfffff9be, 0x82, 0xfffffe99, 0xfffff681, 0xfffffcfb
24, 64, 3, 0x63f, 0xfffff9c0, 0xfffffe99, 0x617, 0x667
25, 64, 3, 0x0, 0x0, 0xfffffe99, 0x0, 0x0
26, 64, 3, 0xfffffffe, 0x640, 0xfffffe99, 0x26, 0xffffffd6
27, 64, 3, 0x1, 0x0, 0xfffffe99, 0x1, 0x1
28, 64, 3, 0x80, 0xffffffff, 0xfffffe99, 0x36d, 0xfffffd93
29, 64, 3, 0x1, 0x63f, 0xfffffe99, 0x316, 0xfffffcec
30, 64, 3, 0x0, 0x641, 0xfffffe99, 0xfffffd3b, 0x2c5
31, 64, 3, 0xfffff9c0, 0xfffff9bf, 0xfffffe99, 0xfffffc85, 0xfffff6fb
32, 64, 3, 0xffffffff, 0x640, 0xfffffe99, 0x27, 0xffffffd7
33, 64, 3, 0x0, 0x63e, 0xfffffe99, 0x602, 0xfffff9fe
34, 64, 3, 0x0, 0x63f, 0xfffffe99, 0x315, 0xfffffceb
35, 64, 3, 0x0, 0x641, 0xfffffe99, 0xfffffd3b, 0x2c5
36, 64, 3, 0x641, 0x640, 0xfffffe99, 0x669, 0x619
37, 64, 3, 0xfffff9c0, 0x642, 0xfffffe99, 0xfffff40e, 0xffffff72
38, 64, 3, 0xfffff9bf, 0x2, 0xfffffe99, 0xfffff3e5, 0xffffff99
39, 64, 3, 0x63e, 0x641, 0xfffffe99, 0x379, 0x903
40, 64, 3, 0x640, 0xffffffff, 0xfffffe99, 0x92d, 0x353
41, 64, 3, 0x2, 0x63f, 0xfffffe99, 0x317, 0xfffffced
42, 64, 3, 0x0, 0x640, 0xfffffe99, 0x28, 0xffffffd8
43, 64, 3, 0xffffff80, 0x640, 0xfffffe99, 0xffffffa8, 0xffffff58
44, 64, 3, 0xffffffff, 0xffffff7f, 0xfffffe99, 0x4f, 0xffffffaf
45, 64, 3, 0xfffff9c1, 0x1, 0xfffffe99, 0xfffff6d4, 0xfffffcae
46, 64, 3, 0x0, 0xffffffff, 0xfffffe99, 0x2ed, 0xfffffd13
47, 64, 3, 0x641, 0xfffff9c0, 0xfffffe99, 0x619, 0x669
48, 64, 3, 0x0, 0x81, 0xfffffe99, 0xffffffb0, 0x50
49, 64, 3, 0x7f, 0x0, 0xfffffe99, 0x7f, 0x7f
50, 64, 3, 0xfffff9c0, 0x1, 0xfffffe99, 0xfffff6d3, 0xfffffcad
51, 64, 3, 0xfffff9c0, 0xfffff9bf, 0xfffffe99, 0xfffffc85, 0xfffff6fb
52, 64, 3, 0xffffff7f, 0xffffffff, 0xfffffe99, 0x26c, 0xfffffc92
53, 64, 3, 0xfffff9bf, 0xfffff9c0, 0xfffffe99, 0xfffff997, 0xfffff9e7
54, 64, 3, 0xfffff9c0, 0x642, 0xfffffe99, 0xfffff40e, 0xffffff72
55, 64, 3, 0x640, 0x640, 0xfffffe99, 0x668, 0x618
56, 64, 3, 0xfffffffe, 0xfffff9c0, 0xfffffe99, 0xffffffd6, 0x26
57, 64, 3, 0xfffff9bf, 0x63f, 0xfffffe99, 0xfffffcd4, 0xfffff6aa
58, 64, 3, 0x0, 0xfffff9c0, 0xfffffe99, 0xffffffd8, 0x28
59, 64, 3, 0x63f, 0x0, 0xfffffe99, 0x63f, 0x63f
60, 64, 3, 0xffffff7d, 0xfffff9c1, 0xfffffe99, 0xfffffc68, 0x292
61, 64, 3, 0x1, 0xffffff7f, 0xfffffe99, 0x51, 0xffffffb1
62, 64, 3, 0x0, 0x82, 0xfffffe99, 0xfffffcc3, 0x33d
63, 64, 3, 0x640, 0xffffffff, 0xfffffe99, 0x92d, 0x353
128, 64, 4, 0x0, 0xffffffff, 0xfffffa13, 0x28, 0xffffffd8
129, 64, 4, 0xfffffffe, 0x63f, 0xfffffa13, 0xfffffd39, 0x2c3
130, 64, 4, 0xfffff9c0, 0x640, 0xfffffa13, 0xfffff6d3, 0xfffffcad
131, 64, 4, 0x2, 0xfffff9c0, 0xfffffa13, 0x2ef, 0xfffffd15
132, 64, 4, 0xfffffffe, 0xfffff9c0, 0xfffffa13, 0x2eb, 0xfffffd11
133, 64, 4, 0x63e, 0x640, 0xfffffa13, 0x351, 0x92b
134, 64, 4, 0xfffff9c1, 0xfffffffe, 0xfffffa13, 0xfffffa11, 0xfffff971
135, 64, 4, 0xffffff7e, 0x640, 0xfffffa13, 0xfffffc91, 0x26b
136, 64, 4, 0x1, 0x0, 0xfffffa13, 0x1, 0x1
137, 64, 4, 0x63f, 0x0, 0xfffffa13, 0x63f, 0x63f
